<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230621;000000;27.28;27.65;27.12;27.39;38169200
20230622;000000;27.4;27.46;27.185;27.33;15762200
20230623;000000;27.305;27.44;26.74;27;25295500
20230624;000000;26.95;27.08;25.57;25.955;41202700
20230627;000000;26.395;26.985;25.93;26.52;57070400
20230628;000000;26.55;27.55;26.29;27.25;44569900
20230629;000000;27.34;28.23;27.105;27.96;81425800
20230630;000000;28.025;28.69;27.905;28.55;54849700
20230701;000000;28.69;28.89;28.255;28.44;36845000
20230704;000000;28.41;28.51;27.73;27.945;23568500
20230705;000000;27.83;28.485;27.455;27.88;39963300
20230706;000000;27.955;28.36;27.88;28.28;19702500
20230707;000000;28.315;28.56;27.805;28.1;27825100
20230708;000000;28.11;28.2;27.915;28.125;8584900
20230711;000000;28.34;28.35;28.06;28.25;15302000
20230712;000000;28.23;28.38;28.1;28.355;14590600
20230713;000000;28.39;29.15;28.365;28.935;36496900
20230714;000000;29.01;29.47;28.555;28.79;33075100
20230715;000000;28.75;29.14;28.55;29.095;17510600
20230718;000000;28.78;29.165;28.51;29;28066400
20230719;000000;29.005;29.87;28.86;29.855;53000700
20230720;000000;29.185;29.49;29.105;29.21;30315200
20230721;000000;29.21;29.23;28.325;28.355;26507400
20230722;000000;28.37;28.95;28.305;28.92;16720900
20230725;000000;28.82;29.09;28.62;28.825;18315500
20230726;000000;28.825;29.3;28.58;28.98;29834300
20230727;000000;28.99;29.26;28.83;29.17;18971400
20230728;000000;29.29;29.495;29.08;29.335;24190900
20230729;000000;29.33;29.5;29.115;29.255;20171400
20230801;000000;29.385;29.8;29.385;29.785;25196300
20230802;000000;29.78;31.8;29.53;31.375;90521400
20230803;000000;31.27;32.05;31.07;31.49;46879800
20230804;000000;31.5;31.85;31.145;31.785;35507500
20230805;000000;31.88;32.9;30.5;31.05;99943600
20230808;000000;31.25;31.84;30.215;30.65;49901900
20230809;000000;30.61;30.8;29.555;30.755;41805000
20230810;000000;30.84;31.035;30.29;30.79;25783200
20230811;000000;30.91;31.555;30.635;31.43;30173200
20230812;000000;31.445;32.44;31.115;32.26;49635600
20230815;000000;32.48;33.14;31;31.18;84562100
